Sr. No.,State Name,Total Electric Vehicle,Total Non-Electric Vehicle,Total
1,Andaman & Nicobar Island,162,146945,147107
3,Arunachal Pradesh,20,252965,252985
4,Assam,64766,4677053,4741819
5,Bihar,83335,10407078,10490413
6,Chandigarh,2812,746881,749693
7,Chhattisgarh,20966,6836200,6857166
8,Delhi,156393,7685600,7841993
9,Goa,3870,1071570,1075440
10,Gujarat,45272,20605484,20650756
11,Haryana,37035,10778270,10815305
12,Himachal Pradesh,1175,1964754,1965929
13,Jammu and Kashmir,2941,1869962,1872903
14,Jharkhand,16811,6486937,6503748
15,Karnataka,120532,26870303,26990835
16,Kerala,30775,15774078,15804853
17,Ladakh,26,38302,38328
20,Maharashtra,116646,31058990,31175636
21,Manipur,586,499324,499910
22,Meghalaya,49,459001,459050
23,Mizoram,21,315626,315647
24,Nagaland,58,339129,339187
25,Odisha,23371,9845073,9868444
26,Puducherry,2149,1213735,1215884
27,Punjab,14804,12463019,12477823
28,Rajasthan,81338,17327388,17408726
29,Sikkim,21,97189,97210
30,Tamil Nadu,82051,29842376,29924427
32,Tripura,9262,650026,659288
33,UT of DNH and DD,183,307671,307854
34,Uttarakhand,31008,3312041,3343049
35,Uttar Pradesh,337180,40092490,40429670
36,West Bengal,48767,14134171,14182938